"time","close","open","high","low","volume","day_before_ratio"
"2017年12月25日","1,605,000","1,613,985","1,687,740","1,582,440","13.76K","-0.56%"
"2017年12月24日","1,613,985","1,750,477","1,757,102","1,502,236","22.80K","-7.80%"
"2017年12月23日","1,750,477","1,699,450","1,866,040","1,660,000","27.49K","3.00%"
"2017年12月22日","1,699,450","1,924,590","1,975,983","1,309,505","46.90K","-11.70%"
"2017年12月21日","1,924,590","1,940,798","2,038,542","1,821,351","18.62K","-0.84%"
"2017年12月20日","1,940,798","2,099,999","2,101,019","1,870,263","24.59K","-7.58%"
"2017年12月19日","2,099,999","2,167,489","2,227,000","2,044,444","20.43K","-3.11%"
"2017年12月18日","2,167,489","2,203,500","2,219,850","2,010,000","17.22K","-1.63%"
"2017年12月17日","2,203,500","2,198,958","2,278,193","2,149,090","16.86K","0.21%"
"2017年12月16日","2,198,958","2,021,949","2,215,250","2,015,364","15.08K","8.75%"
"2017年12月15日","2,021,949","1,910,738","2,066,666","1,910,738","16.87K","5.82%"
"2017年12月14日","1,910,738","1,897,236","1,937,500","1,884,370","9.23K","0.71%"
"2017年12月13日","1,897,236","1,963,999","1,981,010","1,859,580","16.59K","-3.40%"
"2017年12月12日","1,963,999","1,932,962","1,987,773","1,899,999","16.79K","1.61%"
"2017年12月11日","1,932,962","1,737,398","1,994,000","1,736,999","26.81K","11.26%"
"2017年12月10日","1,737,398","1,790,776","1,830,000","1,480,998","42.56K","-2.98%"
"2017年12月09日","1,790,776","1,986,009","1,999,000","1,465,000","24.92K","-9.83%"
"2017年12月08日","1,986,009","2,210,000","2,312,100","1,700,032","40.56K","-10.14%"
"2017年12月07日","2,210,000","1,563,054","2,298,580","1,559,000","44.39K","41.39%"
"2017年12月06日","1,563,054","1,325,500","1,568,995","1,324,401","26.33K","17.92%"
"2017年12月05日","1,325,500","1,303,906","1,332,497","1,292,000","13.05K","1.66%"
"2017年12月04日","1,303,906","1,282,000","1,308,000","1,250,001","14.98K","1.71%"
"2017年12月03日","1,282,000","1,232,714","1,327,536","1,218,253","19.48K","4.00%"
"2017年12月02日","1,232,714","1,235,687","1,255,000","1,207,719","16.81K","-0.24%"
"2017年12月01日","1,235,687","1,174,880","1,239,711","1,094,900","22.59K","5.18%"
"2017年11月30日","1,174,880","1,137,895","1,273,402","1,035,001","34.75K","3.25%"
"2017年11月29日","1,137,895","1,141,802","1,317,140","980,000","44.88K","-0.34%"
"2017年11月28日","1,141,802","1,084,600","1,145,999","1,079,351","17.03K","5.27%"
"2017年11月27日","1,084,600","1,037,890","1,092,800","1,037,025","15.31K","4.50%"
"2017年11月26日","1,037,890","973,807","1,044,500","973,050","16.76K","6.57%"
"2017年11月25日","973,888","915,275","976,950","911,000","12.16K","6.40%"
"2017年11月24日","915,275","893,020","925,019","884,050","11.15K","2.49%"
"2017年11月23日","893,020","918,659","922,519","892,900","9.38K","-2.79%"
"2017年11月22日","918,659","914,374","929,000","908,221","8.06K","0.47%"
"2017年11月21日","914,374","930,927","936,499","885,441","18.85K","-1.78%"
"2017年11月20日","930,927","896,998","936,638","887,001","10.76K","3.78%"
"2017年11月19日","896,998","876,064","901,249","866,258","11.32K","2.39%"
"2017年11月18日","876,064","868,427","883,258","830,100","20.02K","0.88%"
"2017年11月17日","868,427","887,343","913,000","848,160","24.39K","-2.13%"
"2017年11月16日","887,343","827,466","899,500","808,001","24.04K","7.24%"
"2017年11月15日","827,466","762,731","831,000","761,880","20.69K","8.49%"
"2017年11月14日","762,731","756,290","781,288","740,001","15.92K","0.85%"
"2017年11月13日","756,290","666,314","784,720","658,020","43.36K","13.50%"
"2017年11月12日","666,314","720,794","737,741","608,500","57.20K","-7.56%"
"2017年11月11日","720,794","744,342","779,000","695,000","37.89K","-3.16%"
"2017年11月10日","744,342","819,697","838,000","722,000","41.33K","-9.19%"
"2017年11月09日","819,697","857,001","857,990","814,740","22.02K","-4.35%"
"2017年11月08日","857,001","815,856","874,000","810,940","28.89K","5.04%"
"2017年11月07日","815,856","814,151","839,900","805,000","19.51K","0.21%"
"2017年11月06日","814,151","847,468","861,120","808,470","27.45K","-3.93%"
"2017年11月05日","847,468","844,824","871,999","833,500","20.87K","0.31%"
"2017年11月04日","844,824","825,280","852,000","805,000","23.14K","2.37%"
"2017年11月03日","825,280","808,225","856,000","790,010","32.33K","2.11%"
"2017年11月02日","808,225","769,400","868,888","763,660","42.86K","5.05%"
"2017年11月01日","769,400","727,720","769,700","717,777","23.51K","5.73%"
"2017年10月31日","727,720","682,911","728,724","679,298","21.17K","6.56%"
"2017年10月30日","682,911","687,656","696,860","672,060","18.25K","-0.69%"
"2017年10月29日","687,656","646,110","697,479","643,690","20.16K","6.43%"
"2017年10月28日","646,110","653,230","665,250","637,790","13.83K","-1.09%"
"2017年10月27日","653,230","667,900","678,100","643,040","20.07K","-2.20%"
"2017年10月26日","667,900","641,808","680,880","640,310","25.08K","4.07%"
"2017年10月25日","641,808","625,146","643,510","602,526","25.06K","2.67%"
